case_id,case_name,tau,n,method,mean,range
1,Case 1: LLQR (Gaussian design),0.2,200,llqr,0.51,0.061
1,Case 1: LLQR (Gaussian design),0.2,500,llqr,0.86,0.36
1,Case 1: LLQR (Gaussian design),0.2,1000,llqr,1.9,0.34
1,Case 1: LLQR (Gaussian design),0.2,2000,llqr,6.1,1.1
1,Case 1: LLQR (Gaussian design),0.2,5000,llqr,35.0,8.1
1,Case 1: LLQR (Gaussian design),0.2,200,seq,0.045,0.13
1,Case 1: LLQR (Gaussian design),0.2,500,seq,0.15,0.43
1,Case 1: LLQR (Gaussian design),0.2,1000,seq,0.51,0.57
1,Case 1: LLQR (Gaussian design),0.2,2000,seq,1.5,1.1
1,Case 1: LLQR (Gaussian design),0.2,5000,seq,8.8,10.8
1,Case 1: LLQR (Gaussian design),0.2,200,seq(ft),0.0053,0.012
1,Case 1: LLQR (Gaussian design),0.2,500,seq(ft),0.017,0.017
1,Case 1: LLQR (Gaussian design),0.2,1000,seq(ft),0.069,0.044
1,Case 1: LLQR (Gaussian design),0.2,2000,seq(ft),0.66,0.31
1,Case 1: LLQR (Gaussian design),0.2,5000,seq(ft),3.0,1.9
1,Case 1: LLQR (Gaussian design),0.2,200,screen-seq(1),0.13,0.95
1,Case 1: LLQR (Gaussian design),0.2,500,screen-seq(1),0.49,2.2
1,Case 1: LLQR (Gaussian design),0.2,1000,screen-seq(1),1.3,2.1
1,Case 1: LLQR (Gaussian design),0.2,2000,screen-seq(1),3.3,7.4
1,Case 1: LLQR (Gaussian design),0.2,5000,screen-seq(1),16.7,28.3
1,Case 1: LLQR (Gaussian design),0.2,200,screen-seq(2),0.14,1.0
1,Case 1: LLQR (Gaussian design),0.2,500,screen-seq(2),0.49,2.2
1,Case 1: LLQR (Gaussian design),0.2,1000,screen-seq(2),1.1,2.4
1,Case 1: LLQR (Gaussian design),0.2,2000,screen-seq(2),3.3,7.8
1,Case 1: LLQR (Gaussian design),0.2,5000,screen-seq(2),16.5,30.7
1,Case 1: LLQR (Gaussian design),0.2,200,screen-seq(1)(ft),0.0088,0.0095
1,Case 1: LLQR (Gaussian design),0.2,500,screen-seq(1)(ft),0.038,0.20
1,Case 1: LLQR (Gaussian design),0.2,1000,screen-seq(1)(ft),0.12,0.070
1,Case 1: LLQR (Gaussian design),0.2,2000,screen-seq(1)(ft),0.54,0.35
1,Case 1: LLQR (Gaussian design),0.2,5000,screen-seq(1)(ft),5.2,1.8
1,Case 1: LLQR (Gaussian design),0.2,200,screen-seq(2)(ft),0.0067,0.010
1,Case 1: LLQR (Gaussian design),0.2,500,screen-seq(2)(ft),0.029,0.037
1,Case 1: LLQR (Gaussian design),0.2,1000,screen-seq(2)(ft),0.12,0.082
1,Case 1: LLQR (Gaussian design),0.2,2000,screen-seq(2)(ft),0.53,0.39
