case_id,case_name,tau,n,method,mean,range
1,Case 1: LLQR (Gaussian design),0.5,1000,screen-seq(2)(ft),0.14,0.18
1,Case 1: LLQR (Gaussian design),0.5,2000,screen-seq(2)(ft),0.59,1.2
1,Case 1: LLQR (Gaussian design),0.5,5000,screen-seq(2)(ft),4.2,8.0
1,Case 1: LLQR (Gaussian design),0.8,200,llqr,0.28,0.23
1,Case 1: LLQR (Gaussian design),0.8,500,llqr,0.78,0.65
1,Case 1: LLQR (Gaussian design),0.8,1000,llqr,2.2,2.2
1,Case 1: LLQR (Gaussian design),0.8,2000,llqr,8.5,13.8
1,Case 1: LLQR (Gaussian design),0.8,5000,llqr,48.5,96.9
1,Case 1: LLQR (Gaussian design),0.8,200,seq,0.074,0.12
1,Case 1: LLQR (Gaussian design),0.8,500,seq,0.25,0.91
1,Case 1: LLQR (Gaussian design),0.8,1000,seq,0.82,2.2
1,Case 1: LLQR (Gaussian design),0.8,2000,seq,2.5,6.1
1,Case 1: LLQR (Gaussian design),0.8,5000,seq,12.6,28.6
1,Case 1: LLQR (Gaussian design),0.8,200,seq(ft),0.0067,0.023
1,Case 1: LLQR (Gaussian design),0.8,500,seq(ft),0.025,0.056
1,Case 1: LLQR (Gaussian design),0.8,1000,seq(ft),0.096,0.17
1,Case 1: LLQR (Gaussian design),0.8,2000,seq(ft),0.90,1.8
1,Case 1: LLQR (Gaussian design),0.8,5000,seq(ft),3.1,5.9
1,Case 1: LLQR (Gaussian design),0.8,200,screen-seq(1),0.21,0.80
1,Case 1: LLQR (Gaussian design),0.8,500,screen-seq(1),0.67,5.0
1,Case 1: LLQR (Gaussian design),0.8,1000,screen-seq(1),1.8,5.9
1,Case 1: LLQR (Gaussian design),0.8,2000,screen-seq(1),5.2,17.0
1,Case 1: LLQR (Gaussian design),0.8,5000,screen-seq(1),25.5,1937.5
1,Case 1: LLQR (Gaussian design),0.8,200,screen-seq(2),0.22,0.93
1,Case 1: LLQR (Gaussian design),0.8,500,screen-seq(2),0.67,6.1
1,Case 1: LLQR (Gaussian design),0.8,1000,screen-seq(2),1.8,7.2
1,Case 1: LLQR (Gaussian design),0.8,2000,screen-seq(2),5.2,18.6
1,Case 1: LLQR (Gaussian design),0.8,5000,screen-seq(2),27.8,1392.8
1,Case 1: LLQR (Gaussian design),0.8,200,screen-seq(1)(ft),0.0100,0.032
1,Case 1: LLQR (Gaussian design),0.8,500,screen-seq(1)(ft),0.043,0.97
1,Case 1: LLQR (Gaussian design),0.8,1000,screen-seq(1)(ft),0.16,0.27
1,Case 1: LLQR (Gaussian design),0.8,2000,screen-seq(1)(ft),0.70,1.2
1,Case 1: LLQR (Gaussian design),0.8,5000,screen-seq(1)(ft),4.5,9.8
1,Case 1: LLQR (Gaussian design),0.8,200,screen-seq(2)(ft),0.0092,0.018
1,Case 1: LLQR (Gaussian design),0.8,500,screen-seq(2)(ft),0.040,0.12
1,Case 1: LLQR (Gaussian design),0.8,1000,screen-seq(2)(ft),0.16,0.33
1,Case 1: LLQR (Gaussian design),0.8,2000,screen-seq(2)(ft),0.70,1.3
1,Case 1: LLQR (Gaussian design),0.8,5000,screen-seq(2)(ft),4.5,10.1
2,Case 2: LLQR (Uniform design),0.2,200,llqr,0.23,0.29
2,Case 2: LLQR (Uniform design),0.2,500,llqr,0.60,0.52
2,Case 2: LLQR (Uniform design),0.2,1000,llqr,1.6,0.45
2,Case 2: LLQR (Uniform design),0.2,2000,llqr,6.3,2.6
2,Case 2: LLQR (Uniform design),0.2,5000,llqr,43.8,22.6
2,Case 2: LLQR (Uniform design),0.2,200,seq,0.032,0.085
2,Case 2: LLQR (Uniform design),0.2,500,seq,0.093,0.25
2,Case 2: LLQR (Uniform design),0.2,1000,seq,0.26,0.71
2,Case 2: LLQR (Uniform design),0.2,2000,seq,0.88,2.1
2,Case 2: LLQR (Uniform design),0.2,5000,seq,4.9,7.8
2,Case 2: LLQR (Uniform design),0.2,200,seq(ft),0.0050,0.0040
2,Case 2: LLQR (Uniform design),0.2,500,seq(ft),0.016,0.023
2,Case 2: LLQR (Uniform design),0.2,1000,seq(ft),0.053,0.055
2,Case 2: LLQR (Uniform design),0.2,2000,seq(ft),0.65,0.39
2,Case 2: LLQR (Uniform design),0.2,5000,seq(ft),2.2,2.3
2,Case 2: LLQR (Uniform design),0.2,200,screen-seq(1),0.12,0.52
2,Case 2: LLQR (Uniform design),0.2,500,screen-seq(1),0.36,1.1
2,Case 2: LLQR (Uniform design),0.2,1000,screen-seq(1),0.96,2.4
