"case","n","p","replication","method","total_iterations","mean_iterations","median_iterations","max_iterations","elapsed"
1,300,4,49,"seq_mst",22659,75.53,59.5,316,1.289
1,300,4,50,"cold",67682,225.606666666667,220,422,3.626
1,300,4,50,"seq_mst",22886,76.2866666666667,58,373,1.431
1,300,4,51,"cold",61001,203.336666666667,196,317,3.247
1,300,4,51,"seq_mst",22227,74.09,61,308,1.22799999999999
1,300,4,52,"cold",63802,212.673333333333,206,363,3.607
1,300,4,52,"seq_mst",21755,72.5166666666667,54,340,1.179
1,300,4,53,"cold",64330,214.433333333333,204,399,3.658
1,300,4,53,"seq_mst",22917,76.39,62.5,313,1.35599999999999
1,300,4,54,"cold",62021,206.736666666667,199,421,3.29799999999999
1,300,4,54,"seq_mst",21771,72.57,56,374,1.345
1,300,4,55,"cold",64873,216.243333333333,214.5,510,3.877
1,300,4,55,"seq_mst",21874,72.9133333333333,59.5,277,1.38300000000001
1,300,4,56,"cold",63900,213,211,402,3.571
1,300,4,56,"seq_mst",23119,77.0633333333333,56,338,1.285
1,300,4,57,"cold",62258,207.526666666667,207.5,383,3.51499999999999
1,300,4,57,"seq_mst",21049,70.1633333333333,53.5,311,1.256
1,300,4,58,"cold",60831,202.77,198,405,3.18300000000002
1,300,4,58,"seq_mst",21786,72.62,57.5,313,1.422
1,300,4,59,"cold",66110,220.366666666667,226,404,3.53800000000001
1,300,4,59,"seq_mst",22127,73.7566666666667,57.5,334,1.15800000000002
1,300,4,60,"cold",65195,217.316666666667,215,405,3.73500000000001
1,300,4,60,"seq_mst",21049,70.1633333333333,55,302,1.15899999999999
1,300,4,61,"cold",69766,232.553333333333,230.5,350,3.92499999999998
1,300,4,61,"seq_mst",21199,70.6633333333333,56,289,1.227
1,300,4,62,"cold",58525,195.083333333333,197,399,3.029
1,300,4,62,"seq_mst",22096,73.6533333333333,58,303,1.375
1,300,4,63,"cold",68815,229.383333333333,228,418,3.76900000000001
1,300,4,63,"seq_mst",21802,72.6733333333333,57,321,1.16499999999999
1,300,4,64,"cold",69058,230.193333333333,232,452,3.929
1,300,4,64,"seq_mst",22198,73.9933333333333,55,333,1.18600000000001
1,300,4,65,"cold",64188,213.96,213,369,3.58199999999999
1,300,4,65,"seq_mst",22628,75.4266666666667,62,275,1.398
1,300,4,66,"cold",70148,233.826666666667,237,489,3.75999999999999
1,300,4,66,"seq_mst",23771,79.2366666666667,65.5,349,1.542
1,300,4,67,"cold",64054,213.513333333333,212,380,3.40700000000001
1,300,4,67,"seq_mst",19875,66.25,48,350,1.398
1,300,4,68,"cold",68627,228.756666666667,225.5,377,3.74599999999998
1,300,4,68,"seq_mst",21997,73.3233333333333,55.5,305,1.273
1,300,4,69,"cold",66178,220.593333333333,221,430,3.696
1,300,4,69,"seq_mst",20175,67.25,54,337,1.16199999999998
1,300,4,70,"cold",61706,205.686666666667,201,362,3.334
1,300,4,70,"seq_mst",22384,74.6133333333333,56,347,1.34199999999998
1,300,4,71,"cold",65073,216.91,215,471,3.435
1,300,4,71,"seq_mst",22448,74.8266666666667,55.5,330,1.26599999999999
1,300,4,72,"cold",69731,232.436666666667,226.5,466,3.84100000000001
1,300,4,72,"seq_mst",21762,72.54,53.5,422,1.22900000000001
1,300,4,73,"cold",66133,220.443333333333,219,389,3.779
1,300,4,73,"seq_mst",21637,72.1233333333333,54,320,1.221
1,300,4,74,"cold",68131,227.103333333333,228.5,395,3.73899999999998
1,300,4,74,"seq_mst",22535,75.1166666666667,58,388,1.31700000000001
1,300,4,75,"cold",67302,224.34,223.5,366,3.638
1,300,4,75,"seq_mst",21699,72.33,55,385,1.39600000000002
1,300,4,76,"cold",62907,209.69,204,365,3.42600000000002
1,300,4,76,"seq_mst",22441,74.8033333333333,59.5,336,1.31300000000002
1,300,4,77,"cold",67647,225.49,225,353,3.89600000000002
1,300,4,77,"seq_mst",21782,72.6066666666667,57,324,1.154
1,300,4,78,"cold",64330,214.433333333333,204,381,3.70800000000003
1,300,4,78,"seq_mst",21824,72.7466666666667,56.5,337,1.28699999999998
1,300,4,79,"cold",67433,224.776666666667,217,387,3.58600000000001
1,300,4,79,"seq_mst",21055,70.1833333333333,59.5,315,1.506
1,300,4,80,"cold",66047,220.156666666667,218.5,393,3.67700000000002
1,300,4,80,"seq_mst",21931,73.1033333333333,62,314,1.22900000000001
1,300,4,81,"cold",64995,216.65,211.5,396,3.715
1,300,4,81,"seq_mst",20449,68.1633333333333,52.5,393,1.077
1,300,4,82,"cold",62013,206.71,200.5,420,3.43799999999999
1,300,4,82,"seq_mst",22784,75.9466666666667,59,360,1.375
1,300,4,83,"cold",59029,196.763333333333,194,353,3.03800000000001
1,300,4,83,"seq_mst",22059,73.53,61,284,1.37099999999998
1,300,4,84,"cold",63266,210.886666666667,208,347,3.43900000000002
1,300,4,84,"seq_mst",22129,73.7633333333333,60,362,1.24400000000003
1,300,4,85,"cold",62707,209.023333333333,211.5,395,3.59700000000004
1,300,4,85,"seq_mst",20617,68.7233333333333,54,331,1.16399999999999
1,300,4,86,"cold",67275,224.25,222,419,3.82599999999996
1,300,4,86,"seq_mst",20774,69.2466666666667,51,320,1.20000000000005
1,300,4,87,"cold",65466,218.22,211,487,3.524
1,300,4,87,"seq_mst",22135,73.7833333333333,53,323,1.34800000000001
1,300,4,88,"cold",62756,209.186666666667,207,405,3.39799999999997
1,300,4,88,"seq_mst",23076,76.92,58.5,297,1.33499999999998
1,300,4,89,"cold",65664,218.88,217.5,362,3.75799999999998
1,300,4,89,"seq_mst",20572,68.5733333333333,53,310,1.13499999999999
1,300,4,90,"cold",65047,216.823333333333,213.5,399,3.63799999999998
1,300,4,90,"seq_mst",21489,71.63,54,351,1.30199999999996
1,300,4,91,"cold",64480,214.933333333333,213,383,3.47199999999998
1,300,4,91,"seq_mst",20814,69.38,45,313,1.43700000000001
1,300,4,92,"cold",63956,213.186666666667,208.5,384,3.50400000000002
1,300,4,92,"seq_mst",21952,73.1733333333333,58.5,300,1.32900000000001
1,300,4,93,"cold",62002,206.673333333333,203,386,3.53300000000002
1,300,4,93,"seq_mst",20804,69.3466666666667,56,283,1.16000000000003
1,300,4,94,"cold",62142,207.14,198,408,3.39099999999996
1,300,4,94,"seq_mst",21623,72.0766666666667,56,332,1.286
1,300,4,95,"cold",62462,208.206666666667,207,364,3.39800000000002
1,300,4,95,"seq_mst",20842,69.4733333333333,56,385,1.17599999999999
1,300,4,96,"cold",64366,214.553333333333,214,383,3.67399999999998
1,300,4,96,"seq_mst",21427,71.4233333333333,49,305,1.197
1,300,4,97,"cold",64315,214.383333333333,213,407,3.78800000000001
1,300,4,97,"seq_mst",21923,73.0766666666667,62.5,277,1.27699999999999
1,300,4,98,"cold",64877,216.256666666667,219,403,3.44999999999999
1,300,4,98,"seq_mst",22858,76.1933333333333,61,326,1.44200000000001
1,300,4,99,"cold",63717,212.39,206,376,3.39500000000004
1,300,4,99,"seq_mst",20847,69.49,53.5,284,1.14999999999998
1,300,4,100,"cold",67240,224.133333333333,224.5,410,3.83299999999997
1,300,4,100,"seq_mst",21205,70.6833333333333,58,329,1.20999999999998
1,500,4,1,"cold",186231,372.462,366.5,679,43.158
1,500,4,1,"seq_mst",55110,110.22,74,585,13.181
1,500,4,2,"cold",184036,368.072,365.5,745,44.732
1,500,4,2,"seq_mst",49964,99.928,71,485,14.389
1,500,4,3,"cold",176205,352.41,348.5,629,47.656
1,500,4,3,"seq_mst",51468,102.936,77,628,14.381
1,500,4,4,"cold",182306,364.612,357.5,686,47.344
1,500,4,4,"seq_mst",54455,108.91,78.5,708,14.666
1,500,4,5,"cold",176521,353.042,344,674,55.803
1,500,4,5,"seq_mst",53599,107.198,86,568,14.658
1,500,4,6,"cold",175141,350.282,345,662,32.08
1,500,4,6,"seq_mst",54806,109.612,83,547,11.553
1,500,4,7,"cold",170565,341.13,343,551,21.975
1,500,4,7,"seq_mst",53607,107.214,85.5,708,12.017
1,500,4,8,"cold",171340,342.68,333,713,53.548
1,500,4,8,"seq_mst",56168,112.336,84,590,13.02
1,500,4,9,"cold",158886,317.772,307.5,605,38.87
1,500,4,9,"seq_mst",51561,103.122,72,625,11.406
1,500,4,10,"cold",174844,349.688,351,596,21.507
1,500,4,10,"seq_mst",54853,109.706,87,526,6.482
1,500,4,11,"cold",174245,348.49,337.5,632,19.667
1,500,4,11,"seq_mst",54998,109.996,82,565,6.395
1,500,4,12,"cold",163487,326.974,324.5,591,18.792
1,500,4,12,"seq_mst",56259,112.518,82,517,8.032
1,500,4,13,"cold",182922,365.844,365,587,20.425
1,500,4,13,"seq_mst",53915,107.83,80,541,6.45899999999999
1,500,4,14,"cold",180449,360.898,354,608,20.174
1,500,4,14,"seq_mst",56092,112.184,84.5,583,6.66999999999999
1,500,4,15,"cold",174072,348.144,346,676,21.406
1,500,4,15,"seq_mst",51806,103.612,73.5,575,6.119
1,500,4,16,"cold",183467,366.934,360.5,636,23.492
1,500,4,16,"seq_mst",53312,106.624,78.5,556,6.154
1,500,4,17,"cold",174094,348.188,342.5,644,22.367
1,500,4,17,"seq_mst",54513,109.026,82,568,7.90899999999999
1,500,4,18,"cold",163025,326.05,320,637,18.933
1,500,4,18,"seq_mst",53129,106.258,79.5,484,6.572
1,500,4,19,"cold",178185,356.37,354,731,20.749
1,500,4,19,"seq_mst",55724,111.448,84,505,7.529
