"case","n","tau","seed","points","H_match","max_estimate_error","max_objective_gap","max_KKT_violation","full_active_recovery","seq_fallback"
4,200,0.8,2027,200,TRUE,2.89976376244283e-14,1.32721742571495e-14,5.6621374255883e-15,63,FALSE
5,100,0.2,2026,100,TRUE,5.32907051820075e-15,7.00121348499344e-16,4.9036109477906e-16,4,FALSE
5,100,0.2,2027,100,TRUE,7.99360577730113e-15,2.03822978500033e-15,4.95895335689767e-16,3,FALSE
5,100,0.5,2026,100,TRUE,1.24344978758018e-14,6.31793991510245e-16,6.38378239159465e-16,2,FALSE
5,100,0.5,2027,100,TRUE,1.4210854715202e-14,3.99604740494435e-15,8.48687905963813e-16,4,FALSE
5,100,0.8,2026,100,TRUE,3.5527136788005e-15,8.57172224342745e-16,3.5605199344424e-16,2,FALSE
5,100,0.8,2027,100,TRUE,3.5527136788005e-15,4.5167274920491e-16,1.00613961606655e-15,6,FALSE
5,200,0.2,2026,200,TRUE,1.4210854715202e-14,4.17448081094608e-15,9.43689570931383e-16,5,FALSE
5,200,0.2,2027,200,TRUE,1.4210854715202e-14,2.565989857199e-15,1.03391681146584e-15,3,FALSE
5,200,0.5,2026,200,TRUE,1.15463194561016e-14,2.5911520286958e-15,1.04083408558608e-15,5,FALSE
5,200,0.5,2027,200,TRUE,1.06581410364015e-14,2.26259555399975e-15,8.72528638966655e-16,6,FALSE
5,200,0.8,2026,200,TRUE,1.13686837721616e-13,5.75204922563022e-14,6.01949046163952e-16,3,FALSE
5,200,0.8,2027,200,TRUE,1.24344978758018e-14,1.10945762686119e-15,7.34872232510675e-16,4,FALSE
