"model","case","paper_case","tau","n","num_rep","seed_base","raw_method","Mm.factor","ok_reps","gamma_mean","gamma_min","gamma_max","effective_gamma_max_mean","mean_max_Sj","max_Sj_over_nb","max_Sj_over_nb_gamma_logn","max_Sj_over_nb_effective_gamma_logn_conservative","first_pass_prop_mean","first_pass_prop_min","first_pass_prop_max","Fr_mean","Fr_median","Fr_q90","Fr_max","total_repair_mean","total_repair_min","total_repair_max","uniform","threshold_expansion_replications"
"llqr",2,2,0.5,1000,500,2025,"unified_u11",0.1,500,0.0320494439794407,0.0320494439794407,0.0320494439794407,0.0320494439794407,21.04,0.0837617486844558,1.40658526073669,1.40658526073669,0.993905905905906,0.981981981981982,1,6.088,6,10,18,6.652,0,22,0.008,0
"llqr",2,2,0.5,2000,500,2025,"unified_u11",0.1,500,0.026739033350148,0.026739033350148,0.026739033350148,0.026739033350148,28.918,0.0661217374581721,1.49872399263846,1.49872399263846,0.998687343671836,0.994497248624312,1,2.624,2,5,11,2.69,0,14,0.106,0
"llqr",2,2,0.5,5000,500,2025,"unified_u11",0.1,500,0.0207203612237177,0.0207203612237177,0.0207203612237177,0.0207203612237177,43.304,0.0475720657673281,1.58167517541554,1.58167517541554,0.999912382476495,0.999399879975995,1,0.438,0,1,3,0.438,0,3,0.666,0
"llqr",2,2,0.5,10000,500,2025,"unified_u11",0.1,500,0.0169260158132766,0.0169260158132766,0.0169260158132766,0.0169260158132766,59.134,0.0373110316084918,1.64095795491622,1.64095795491622,0.999992599259926,0.999899989999,1,0.074,0,0,1,0.074,0,1,0.926,0
"tvcqr",1,3,0.5,1000,500,2025,"unified_u11",1e-05,500,0.0115787207822088,0.00953553828954702,0.0157717762144486,0.0115787207822088,18.678,0.0743584573159822,1.90266269630808,1.90266269630808,0.753095095095095,0.687687687687688,0.814814814814815,246.658,247,276,312,419.316,276,561,0,0
"tvcqr",1,3,0.5,2000,500,2025,"unified_u11",1e-05,500,0.0140643005877905,0.0121802019565941,0.0184269870098918,0.0140643005877905,26.326,0.060195063985194,1.91415728292249,1.91415728292249,0.898168084042021,0.861930965482741,0.942471235617809,203.562,203,236.1,276,264.464,140,377,0,0
"tvcqr",1,3,0.5,5000,500,2025,"unified_u11",1e-05,500,0.0170428424351503,0.0146967522676277,0.022108378337744,0.0170428424351503,46.462,0.0510413199630889,1.93364275257349,1.93364275257349,0.987338667733547,0.977995599119824,0.994198839767954,63.294,63,81,110,66.292,29,116,0,0
"tvcqr",1,3,0.5,10000,500,2025,"unified_u11",1e-05,500,0.0189621746622878,0.0168175957963057,0.0261953538369195,0.0189621746622878,75.282,0.0474997308071579,1.91764989351228,1.91764989351228,0.998973897389739,0.997599759975998,0.999899989999,10.26,10,16,24,10.328,1,24,0,0
