case,n,p,avg_total_reduction_input_vs_cold,avg_total_reduction_mst_vs_cold,avg_total_reduction_mst_vs_input,avg_mean_reduction_input_vs_cold,avg_mean_reduction_mst_vs_cold,avg_mean_reduction_mst_vs_input
1,300,4,0.33183661049745067,0.6705045872894013,0.506907432692778,0.33183661049745067,0.6705045872894013,0.5069074326927779
1,500,4,0.3336068728628463,0.6944880363315382,0.5414670199175238,0.3336068728628463,0.6944880363315382,0.5414670199175238
1,800,4,0.3809253450507843,0.7215835895912355,0.5504718122531082,0.38092534505078435,0.7215835895912355,0.5504718122531082
2,300,4,0.051388288886338764,0.6810246306568599,0.6632931971301398,0.05138828888633877,0.6810246306568599,0.6632931971301399
2,500,4,0.02868613800058505,0.7225921268083699,0.7142914884138136,0.028686138000585025,0.7225921268083699,0.7142914884138136
2,800,4,0.04396080095059266,0.7467899152784855,0.73515331008348,0.04396080095059266,0.7467899152784855,0.73515331008348
