"model","case","paper_case","tau","n","num_rep","seed_base","method","n_present","n_solver_ok","n_accepted","n_nonfinite","ierr_nonzero","failed_eval_nonzero","h_mismatch_count","fallback_count","retained_decomposition_failures","repair_total","repaired_points_total","internal_recovery_total","certificate_hits","residual_rows_checked","threshold_expansion_total","threshold_expansion_replications","first_retained_size_mean_of_max","first_retained_size_max","time_mean_sec","time_median_sec","time_min_sec","time_max_sec","max_average_relative_discrepancy","solver_stable","path_accepted","timing_order_balanced","discrepancy_valid","retained_decomposition_ok"
"llqr",1,1,0.5,10000,500,2025,"lean_seq",500,500,500,0,0,0,0,0,,,,,,,,,,,4.223708,4.086,3.815,6.413,1.472126254122e-12,TRUE,TRUE,TRUE,TRUE,TRUE
"llqr",1,1,0.5,10000,500,2025,"unified_u11",500,500,500,0,0,0,0,0,0,31269,14909,1451,3820513,11995818023,0,0,749.954,813,4.282386,4.207,3.622,5.341,4.34977281450108e-16,TRUE,TRUE,TRUE,TRUE,TRUE
"llqr",1,1,0.8,1000,500,2025,"direct_baseline",500,500,500,0,0,0,0,0,,,,,,,,,,,1.938124,1.9455,0.648,2.19,0,TRUE,TRUE,TRUE,TRUE,TRUE
"llqr",1,1,0.8,1000,500,2025,"lean_seq",500,500,500,0,0,0,0,0,,,,,,,,,,,0.044578,0.0420000000000003,0.0389999999999997,0.076,3.00042009660406e-13,TRUE,TRUE,TRUE,TRUE,TRUE
"llqr",1,1,0.8,1000,500,2025,"unified_u11",500,500,500,0,0,0,0,0,0,27261,15042,1301,304110,213442926,0,0,81.988,103,0.052342,0.0500000000000003,0.0459999999999998,0.08,3.96370112102243e-16,TRUE,TRUE,TRUE,TRUE,TRUE
"llqr",1,1,0.8,2000,500,2025,"direct_baseline",500,500,500,0,0,0,0,0,,,,,,,,,,,4.358382,4.4575,2.776,4.952,0,TRUE,TRUE,TRUE,TRUE,TRUE
"llqr",1,1,0.8,2000,500,2025,"lean_seq",500,500,500,0,0,0,0,0,,,,,,,,,,,0.16215,0.1595,0.147,0.24,4.05726652119565e-13,TRUE,TRUE,TRUE,TRUE,TRUE
"llqr",1,1,0.8,2000,500,2025,"unified_u11",500,500,500,0,0,0,0,0,0,27656,14538,1358,658820,719063290,0,0,160.77,187,0.187544,0.185,0.17,0.255,3.5523852693048e-16,TRUE,TRUE,TRUE,TRUE,TRUE
"llqr",1,1,0.8,5000,500,2025,"direct_baseline",500,500,500,0,0,0,0,0,,,,,,,,,,,30.09744,28.0155,15.965,57.752,0,TRUE,TRUE,TRUE,TRUE,TRUE
"llqr",1,1,0.8,5000,500,2025,"lean_seq",500,500,500,0,0,0,0,0,,,,,,,,,,,1.095638,1.0325,0.963999999999999,1.928,7.08305820586714e-13,TRUE,TRUE,TRUE,TRUE,TRUE
"llqr",1,1,0.8,5000,500,2025,"unified_u11",500,500,500,0,0,0,0,0,0,31120,15364,1436,1821194,3500647331,0,0,402.076,442,1.23636,1.151,1.035,2.111,3.71377037344697e-16,TRUE,TRUE,TRUE,TRUE,TRUE
"llqr",1,1,0.8,10000,500,2025,"direct_baseline",500,500,500,0,0,0,0,0,,,,,,,,,,,129.066882,129.6395,73.845,150.232,0,TRUE,TRUE,TRUE,TRUE,TRUE
"llqr",1,1,0.8,10000,500,2025,"lean_seq",500,500,500,0,0,0,0,0,,,,,,,,,,,4.608256,4.46600000000001,4.13499999999999,6.744,4.61373886475379e-13,TRUE,TRUE,TRUE,TRUE,TRUE
